"Group","ID","Tuning Notes","Tier","Obscurity","Base Value","Tags","Prefab REF","Move Set","Heft","Trigger Game Effect","Active Traits","Passive Traits","Charges / Durability","Kind","Bone REF","Strike Game Effect","Projectile Speed","Ammo ID","Ammo Use","Cooldown","ActorBody REF","Crafting Recipe","Unique","Max Count"
"Shield","patchOver_GoldBuckler",2,2,0,1100,,"eq-weapon-shield-buckler-gold | WeaponBase","ms-weapon-shield-buckler","Ultraheavy",,"Bash","DiminishedDamage +20, AttackBonus +2, HeftBonus +1, IncreasedStaminaAttack",,"Shield","j_l_weapon","HitDamage",,,,,,,,
"Shield","patchOver_BerelaineShield",2,2,0,750,,"eq-weapon-shield-buckler-berelaine | WeaponBase","ms-weapon-shield-buckler","Light",,"Bash","DiminishedDamage +60, Speed + 5",,"Shield","j_l_weapon","HitDamage",,,,,,,,
"Shield","patchOver_UnreliableBuckler",2,1,0,600,,"eq-weapon-shield-buckler-base | WeaponBase","ms-weapon-shield-buckler","Light",,"Bash","DiminishedDamage +70",,"Shield","j_l_weapon","HitDamage",,,,,,,,
"Shield","patchOver_LargeWoodenShield",2,0,0,300,,"eq-weapon-shield-buckler-wooden_large | WeaponBase","ms-weapon-shield-buckler","Light",,"Bash","DiminishedDamage +60",,"Shield","j_l_weapon","HitDamage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Wand","patchOver_AbraxisWand",2,4,0,3580,,"eq-weapon-wand-mini_crystal_stick | arcaneweapon","ms-weapon-wanddot","Ultraheavy","Shoot_AbraxisBeam, ArcaneBombExplosion","Arcane",,,"Ranged","j_l_weapon",,,,0,4,,,,
"Crossbow","Gauntlet",2,3,0,1500,,"eq-weapon-gauntlet-golden","ms-weapon-shield-cannon","Light","Shoot_FireBombMortar",,"ArcaneResist",,"Shield","j_l_wrist",,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Special","patchOver_Special_Blood",2,,,,,"pf-decal-graffiti-random",,,,,,,"FloorDecal","j_r_weapon",,,,,,,,,
"Projectile","patchOver_AmbassadorGem",2,0,0,,,"eq-weapon-spit-gemeater_gem | arcaneprojectile",,"Light","FX_Impact","Bash",,,"Projectile",,"HitDamage, GemeaterHeal",25,,,,,,,
"Projectile","patchOver_AbraxisBeam",2,0,0,,,"eq-weapon-crossbow-bolt_wand | arcaneprojectile",,"Ultraheavy","ArcaneBombImpact","Arcane","HeftBonus +7",,"Projectile",,"HitDamage, ShieldWailKnockback",35,,,,,,,
"Projectile","patchOver_IceShard",2,0,0,,,"eq-weapon-crossbow-bolt_wand | iceprojectile",,"Ultralight","FX_Impact","Ice",,,"Projectile",,"HitDamage, FreezeWeakLong",50,,,,,,,
"Projectile","patchOver_ArcMissile",2,0,0,,,"eq-weapon-crossbow-bolt_wand | arcaneprojectile",,"Ultralight","FX_Impact","Fire",,,"Projectile",,"HitDamage",50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Component","patchOver_ArcAxe_Comp",2,0,0,,"component","pf-crafting_component-octahedron",,,,,,1,"Ingredient","SourceRoot",,,,,,,,,100
